"listData.baseMean";"listData.log2FoldChange";"listData.lfcSE";"listData.stat";"listData.pvalue";"listData.padj"
"ENSMUSG00000000308";597.485171210918;-0.749223096353178;0.185619653147128;-4.03633496588489;5.42926855282013e-05;0.0205810253763602
"ENSMUSG00000006546";56.2581097370086;-5.59275257977868;1.5098222464574;-3.70424571031546;0.000212020673256924;0.0581477972348742
"ENSMUSG00000011034";395.471721495367;-0.920312032554969;0.230257611969067;-3.99687994974344;6.41828293014396e-05;0.0234454040635495
"ENSMUSG00000011171";191.557067868621;0.71323635023187;0.20452686935759;3.48725012254925;0.000488014717894844;0.0982895561488443
"ENSMUSG00000011463";82.5043137504627;7.87860394155121;1.38107308806839;5.7046973180619;1.16550009947301e-08;1.80123557680863e-05
"ENSMUSG00000012819";56.8594037311499;1.08961179058001;0.302100139489209;3.60679009424598;0.000310008240040148;0.0737912614189828
"ENSMUSG00000014813";144.373453733669;1.01687613968283;0.256867415244634;3.95875879669045;7.534027544415e-05;0.0265554644552354
"ENSMUSG00000019929";40791.9206940222;0.566402975683085;0.132802062641979;4.26501640422596;1.99887515131373e-05;0.009794975771962
"ENSMUSG00000020866";434.163965062398;1.0092779016315;0.194172829015273;5.1978328108518;2.01625342547072e-07;0.00022504748650629
"ENSMUSG00000020893";822.567677490029;0.739444589864981;0.174908422172491;4.22760997258186;2.36186744415565e-05;0.010784608822848
"ENSMUSG00000021071";165.155201168282;0.979898104879128;0.263397461035628;3.72022608352547;0.000199044517098686;0.0567643389129821
"ENSMUSG00000021390";3765.54492285687;0.514114006866095;0.117914784032869;4.36004705502225;1.3003447873138e-05;0.00669877618510809
"ENSMUSG00000021508";494.762863736777;-1.1311207932204;0.309183151455262;-3.65841666305698;0.000253778232602514;0.0645399806483178
"ENSMUSG00000022537";179.817095495599;0.785810026404788;0.201265172716491;3.90435173556681;9.44782906376488e-05;0.0327269540896724
"ENSMUSG00000022687";929.505927560374;0.541527369886703;0.139222660189264;3.88964963857559;0.000100389052000815;0.033615274062473
"ENSMUSG00000022935";223.608438830862;-1.20498233307465;0.235369977662785;-5.11952435497545;3.06307212311532e-07;0.000293048485835761
"ENSMUSG00000022991";57.7743351563818;-1.56118573870667;0.324633469127314;-4.80907203716079;1.51632559011642e-06;0.00108801776539389
"ENSMUSG00000023034";379.279305623614;0.785926731333897;0.207243573634298;3.79228517223286;0.000149267362477237;0.0461373935312334
"ENSMUSG00000023439";125.911758024947;-1.14569289829687;0.318364238006059;-3.59868591231364;0.000319829175373736;0.0747173018887643
"ENSMUSG00000024835";111.42971983104;1.85404251597703;0.288258290793138;6.43187923884395;1.26035860451048e-10;3.16523309040252e-07
"ENSMUSG00000024843";325.737302307589;0.593340518296191;0.159441884702332;3.72135916107566;0.000198153370942796;0.0567643389129821
"ENSMUSG00000025059";574.851497216122;-0.969337861838946;0.277538038028404;-3.49263066325973;0.000478287535143169;0.0980538251894022
"ENSMUSG00000025491";2365.81536292275;-0.953314064881774;0.257546684922123;-3.70151945527871;0.000214312220033644;0.0581477972348742
"ENSMUSG00000026180";44.3264961638434;-3.21595505307389;0.715904484794327;-4.49215659543997;7.05055489367154e-06;0.004047219953393
"ENSMUSG00000027217";487.088848394501;0.629539258932541;0.171469205107445;3.67144210260999;0.000241185719359854;0.062735802995908
"ENSMUSG00000028222";25.8787653234554;-2.53019106428863;0.707181923824243;-3.57785030845537;0.000346431748782704;0.0777309091319406
"ENSMUSG00000028593";19.4108787628222;-2.98320432297381;0.703195348787047;-4.24235502711954;2.21186420695936e-05;0.010334549716749
"ENSMUSG00000028909";908.824314888607;0.681811607302928;0.166036610064024;4.10639320472768;4.01885139363819e-05;0.0164781108876704
"ENSMUSG00000029343";21.4296557148782;-4.190406300255;0.90689551815597;-4.62060536893548;3.82621957453003e-06;0.00240226804599634
"ENSMUSG00000029882";54.4160465481501;7.27230657684714;1.43017283098178;5.08491450774859;3.67791698041936e-07;0.00033587740933457
"ENSMUSG00000030306";1160.25154854653;0.446259934491541;0.125455992623677;3.55710337273534;0.000374966631328152;0.0799156206342164
"ENSMUSG00000030413";1740.41122080651;-0.862537413642589;0.242809950678234;-3.55231493286535;0.000381857527295046;0.0799156206342164
"ENSMUSG00000031089";685.365968394355;-0.98388346435817;0.269645519738087;-3.64880330781628;0.000263464719560079;0.0661658710085194
"ENSMUSG00000031486";1567.91353800033;0.453270649168889;0.122562603045058;3.69827857688573;0.000217066586661468;0.0581477972348742
"ENSMUSG00000031825";2847.48961005278;0.546474302922451;0.112204826297786;4.87032796140279;1.11413169867611e-06;0.000860923844542377
"ENSMUSG00000031896";27.420944265877;4.21645890024086;0.933660756074125;4.51605026002197;6.30037169353295e-06;0.00372296375572855
"ENSMUSG00000031957";370.717036519789;10.9457205829574;2.32451317914489;4.70882276820815;2.49151588342029e-06;0.00166856818712657
"ENSMUSG00000032068";1214.17021437341;-1.49306379443188;0.243733209418595;-6.12581189897535;9.02223440367009e-10;2.01406346004595e-06
"ENSMUSG00000032257";68.9981013369412;-1.37674718794787;0.375244198224816;-3.66893664035555;0.000243561427190325;0.062735802995908
"ENSMUSG00000032303";39.2527936112796;-2.05124783711749;0.381363249244111;-5.37872446068994;7.50154145941867e-08;9.41959184132378e-05
"ENSMUSG00000032496";134.826523517526;-1.17515479456178;0.237627979619955;-4.94535532575432;7.60050999635539e-07;0.000610807385347105
"ENSMUSG00000033501";60.6355178322237;-6.26222023833958;1.31819195555315;-4.75061330177195;2.02800625136165e-06;0.00140498874469334
"ENSMUSG00000033863";1184.86472894185;0.834909766036098;0.204548812478928;4.08171407067986;4.47047746708812e-05;0.0179632725582535
"ENSMUSG00000034739";3251.51795267772;0.791319305364736;0.148131508545434;5.34200531092295;9.19239612045237e-08;0.00010863790026824
"ENSMUSG00000035200";461.497754493163;-0.871960372252787;0.16976739156909;-5.13620645398162;2.80339682137615e-07;0.000281615227691341
"ENSMUSG00000037266";1893.79315565222;0.779270700324922;0.18576768024187;4.19486693977288;2.73031819034804e-05;0.0121899606138406
"ENSMUSG00000038375";4821.25689541342;-0.433262558500071;0.120003307897523;-3.61042179662295;0.000305699465169028;0.0737912614189828
"ENSMUSG00000038754";11.4752781916225;-4.52112929371613;1.03249732356427;-4.37882906863993;1.19318669740805e-05;0.00630850366779606
